USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0 2289684   5368 0                   0 S init
root             2     0       0      0 0                   0 S [kthreadd]
root             3     2       0      0 0                   0 I [rcu_gp]
root             4     2       0      0 0                   0 I [rcu_par_gp]
root             6     2       0      0 0                   0 I [kworker/0:0H-wdt_wq]
root             9     2       0      0 0                   0 I [mm_percpu_wq]
root            10     2       0      0 0                   0 S [rcu_tasks_kthre]
root            11     2       0      0 0                   0 S [rcu_tasks_trace]
root            12     2       0      0 0                   0 S [ksoftirqd/0]
root            13     2       0      0 0                   0 I [rcu_preempt]
root            14     2       0      0 0                   0 S [migration/0]
root            16     2       0      0 0                   0 S [cpuhp/0]
root            17     2       0      0 0                   0 S [cpuhp/1]
root            18     2       0      0 0                   0 S [migration/1]
root            19     2       0      0 0                   0 S [ksoftirqd/1]
root            21     2       0      0 0                   0 I [kworker/1:0H-sync_dispatch]
root            22     2       0      0 0                   0 S [cpuhp/2]
root            23     2       0      0 0                   0 S [migration/2]
root            24     2       0      0 0                   0 S [ksoftirqd/2]
root            26     2       0      0 0                   0 I [kworker/2:0H-events_highpri]
root            27     2       0      0 0                   0 S [cpuhp/3]
root            28     2       0      0 0                   0 S [migration/3]
root            29     2       0      0 0                   0 S [ksoftirqd/3]
root            31     2       0      0 0                   0 I [kworker/3:0H-events_highpri]
root            32     2       0      0 0                   0 S [cpuhp/4]
root            33     2       0      0 0                   0 S [migration/4]
root            34     2       0      0 0                   0 S [ksoftirqd/4]
root            36     2       0      0 0                   0 I [kworker/4:0H-events_highpri]
root            37     2       0      0 0                   0 S [cpuhp/5]
root            38     2       0      0 0                   0 S [migration/5]
root            39     2       0      0 0                   0 S [ksoftirqd/5]
root            41     2       0      0 0                   0 I [kworker/5:0H-busyidle_notify]
root            42     2       0      0 0                   0 S [cpuhp/6]
root            43     2       0      0 0                   0 S [migration/6]
root            44     2       0      0 0                   0 S [ksoftirqd/6]
root            46     2       0      0 0                   0 I [kworker/6:0H-events_highpri]
root            47     2       0      0 0                   0 S [cpuhp/7]
root            48     2       0      0 0                   0 S [migration/7]
root            49     2       0      0 0                   0 S [ksoftirqd/7]
root            51     2       0      0 0                   0 I [kworker/7:0H-events_highpri]
root            52     2       0      0 0                   0 I [netns]
root            54     2       0      0 0                   0 D [bbox_main]
root            56     2       0      0 0                   0 D [bbox_cleartext]
root            64     2       0      0 0                   0 S [kauditd]
root            72     2       0      0 0                   0 S [mailbox-10]
root            73     2       0      0 0                   0 S [mailbox-11]
root            74     2       0      0 0                   0 S [mailbox-12]
root            75     2       0      0 0                   0 S [mailbox-13]
root            76     2       0      0 0                   0 S [mailbox-14]
root            77     2       0      0 0                   0 S [mailbox-15]
root            78     2       0      0 0                   0 S [mailbox-16]
root            79     2       0      0 0                   0 S [mailbox-17]
root            80     2       0      0 0                   0 S [mailbox-18]
root            81     2       0      0 0                   0 S [mailbox-23]
root            82     2       0      0 0                   0 S [mailbox-24]
root            83     2       0      0 0                   0 S [mailbox-25]
root            84     2       0      0 0                   0 S [mailbox-26]
root            85     2       0      0 0                   0 S [mailbox-27]
root            86     2       0      0 0                   0 S [mailbox-28]
root            87     2       0      0 0                   0 S [mailbox-30]
root            88     2       0      0 0                   0 S [ao-mailbox-0]
root            89     2       0      0 0                   0 S [npu-mailbox-0]
root            90     2       0      0 0                   0 S [npu-mailbox-1]
root            91     2       0      0 0                   0 S [npu-mailbox-2]
root            92     2       0      0 0                   0 S [npu-mailbox-3]
root            93     2       0      0 0                   0 S [khungtaskd]
root            94     2       0      0 0                   0 S [oom_reaper]
root            95     2       0      0 0                   0 I [writeback]
root            96     2       0      0 0                   0 S [kcompactd0]
root            97     2       0      0 0                   0 S [xreclaimer]
root           111     2       0      0 0                   0 I [cryptd]
root           144     2       0      0 0                   0 I [kblockd]
root           145     2       0      0 0                   0 I [blkcg_punt_bio]
root           146     2       0      0 0                   0 I [dsm_wq]
root           147     2       0      0 0                   0 S [spi3]
root           148     2       0      0 0                   0 S [sys_pool]
root           149     2       0      0 0                   0 S [sys_heap]
root           150     2       0      0 0                   0 S [camera_heap]
root           151     2       0      0 0                   0 S [protect_cpa_hea]
root           152     2       0      0 0                   0 I [devfreq_wq]
root           153     2       0      0 0                   0 D [hwxcollie]
root           154     2       0      0 0                   0 I [hisi_usb_typec]
root           155     2       0      0 0                   0 S [rdr_lpm3_thread]
root           156     2       0      0 0                   0 S [irq/186-kernel_]
root           157     2       0      0 0                   0 S [watchdogd]
root           158     2       0      0 0                   0 I [ana_hs_plugin_d]
root           159     2       0      0 0                   0 I [ana_hs_plugout_]
root           160     2       0      0 0                   0 S [irq/187-ana_hs_]
root           161     2       0      0 0                   0 I [v600_delay_wq]
root           163     2       0      0 0                   0 I [kworker/4:1H-sync_dispatch]
root           164     2       0      0 0                   0 I [cfg80211]
root           165     2       0      0 0                   0 S [dspdumplog]
root           166     2       0      0 0                   0 I [hifi_om_work_vo]
root           167     2       0      0 0                   0 I [hifi_om_work_au]
root           168     2       0      0 0                   0 I [hifi_om_work_vo]
root           169     2       0      0 0                   0 I [hifi_om_work_vo]
root           170     2       0      0 0                   0 I [hifi_om_work_sm]
root           171     2       0      0 0                   0 I [hifi_om_work_au]
root           172     2       0      0 0                   0 I [hifi_om_work_au]
root           173     2       0      0 0                   0 I [hifi_om_work_a2]
root           174     2       0      0 0                   0 D [mailboxNormal]
root           175     2       0      0 0                   0 D [mailboxHigh]
root           176     2       0      0 0                   0 S [siqthread/0]
root           177     2       0      0 0                   0 S [ipihelper]
root           178     2       0      0 0                   0 S [agent_rpmb]
root           179     2       0      0 0                   0 S [tuid]
root           180     2       0      0 0                   0 S [smc_svc_thread]
root           181     2       0      0 0                   0 I [slimbus_lost_sy]
root           182     2       0      0 0                   0 S [interface_msg_p]
root           215     2       0      0 0                   0 S [kswapd0]
root           216     2       0      0 0                   0 S [ecryptfs-kthrea]
root           217     2       0      0 0                   0 I [cifsiod]
root           218     2       0      0 0                   0 I [smb3decryptd]
root           219     2       0      0 0                   0 I [cifsfileinfoput]
root           220     2       0      0 0                   0 I [cifsoplockd]
root           221     2       0      0 0                   0 I [HW_KERNEL_STP_M]
root           222     2       0      0 0                   0 I [HW_KERNEL_STP_S]
root           224     2       0      0 0                   0 I [kthrotld]
root           225     2       0      0 0                   0 I [fb0_dss_debug]
root           226     2       0      0 0                   0 I [fb0_ldi_underfl]
root           227     2       0      0 0                   0 I [fb0_hiace_end]
root           228     2       0      0 0                   0 I [fb0_gmp_lut]
root           229     2       0      0 0                   0 I [masklayer_backl]
root           230     2       0      0 0                   0 I [fb0_display_eng]
root           231     2       0      0 0                   0 I [fb0_display_eng]
root           232     2       0      0 0                   0 I [dfr_notice_work]
root           233     2       0      0 0                   0 I [dfr_delay_work]
root           234     2       0      0 0                   0 I [dss_underflow_d]
root           235     2       0      0 0                   0 I [dpufb0-layerbuf]
root           236     2       0      0 0                   0 I [esd_check]
root           237     2       0      0 0                   0 I [aod_ud_fast_unb]
root           238     2       0      0 0                   0 S [acm_fwk_loop]
root           239     2       0      0 0                   0 D [acm_dmd_loop]
root           240     2       0      0 0                   0 I [busyidle_notify]
root           241     2       0      0 0                   0 S [scsi_eh_0]
root           242     2       0      0 0                   0 I [scsi_tmf_0]
root           243     2       0      0 0                   0 S [ufs_eh_worker]
root           244     2       0      0 0                   0 I [uether]
root           245     2       0      0 0                   0 I [dm_bufio_cache]
root           246     2       0      0 0                   0 I [hung_wp_screen_]
root           247     2       0      0 0                   0 D [netlink_handle]
root           248     2       0      0 0                   0 D [sock_destroy_th]
root           249     2       0      0 0                   0 D [chr_netlink_thr]
root           250     2       0      0 0                   0 D [chr_web_thread]
root           251     2       0      0 0                   0 S [ts_thread:0]
root           252     2       0      0 0                   0 I [hwlog_wq]
root           254     2       0      0 0                   0 S [process_ocp]
root           255     2       0      0 0                   0 I [vir_voice_send_]
root           256     2       0      0 0                   0 S [virtual_voice p]
root           257     2       0      0 0                   0 S [virtual_voice h]
root           258     2       0      0 0                   0 D [sim_netlink_thr]
root           259     2       0      0 0                   0 S [irq/230-thp]
root           261     2       0      0 0                   0 D [nb_netlink]
root           262     2       0      0 0                   0 S [bastet_modem_rd]
root           263     2       0      0 0                   0 S [hw_kstate]
root           264     2       0      0 0                   0 I [hall_wq]
root           265     2       0      0 0                   0 I [pd_combphy_even]
root           266     2       0      0 0                   0 I [pd_dpm_usb_wq]
root           267     2       0      0 0                   0 I [TEE_SEESSION_WO]
root           268     2       0      0 0                   0 I [HWSDP_TEE_SESS_]
root           269     2       0      0 0                   0 D [emcom_netlink_t]
root           270     2       0      0 0                   0 D [fi_netlink_thre]
root           271     2       0      0 0                   0 I [kworker/3:1H-busyidle_notify]
root           272     2       0      0 0                   0 I [kworker/6:1H-sync_dispatch]
root           273     2       0      0 0                   0 I [ipv6_addrconf]
root           274     2       0      0 0                   0 I [kstrp]
root           275     2       0      0 0                   0 I [kworker/2:1H-sync_dispatch]
root           276     2       0      0 0                   0 D [modemddrc_emit]
root           277     2       0      0 0                   0 I [monitor-dpm-que]
root           278     2       0      0 0                   0 I [memlat_wq]
root           279     2       0      0 0                   0 S [drg]
root           280     2       0      0 0                   0 I [pmic-otmp-wq]
root           281     2       0      0 0                   0 I [pmu-ocp-wq]
root           285     2       0      0 0                   0 I [rtc_nv_work]
root           288     2       0      0 0                   0 S [bbox_diaginfo]
root           289     2       0      0 0                   0 S [bbox_lpmcu_diag]
root           290     2       0      0 0                   0 D [hisee_mntn]
root           291     2       0      0 0                   0 D [hiseeprint_mntn]
root           292     2       0      0 0                   0 D [hisee_mntn_log_]
root           293     2       0      0 0                   0 I [wdt_wq]
root           294     2       0      0 0                   0 I [kworker/0:1H-busyidle_notify]
root           295     2       0      0 0                   0 D [long_powerkey]
root           297     2       0      0 0                   0 I [dw-mci-card/1]
root           302     2       0      0 0                   0 I [dw-mci-card/2]
root           303     2       0      0 0                   0 S [zswapd0]
root           304     2       0      0 0                   0 I [hhee_module]
root           306     2       0      0 0                   0 D [hieps_permanent]
root           307     2       0      0 0                   0 I [npu_mntn_rdr_wq]
root           308     2       0      0 0                   0 I [npu-mb-send]
root           309     2       0      0 0                   0 I [devdrv-heartbea]
root           310     2       0      0 0                   0 I [npu-cqsq-work]
root           311     2       0      0 0                   0 I [send_mailbox_cn]
root           312     2       0      0 0                   0 S [voice proxy wri]
root           313     2       0      0 0                   0 I [soundtrigger_dm]
root           314     2       0      0 0                   0 I [soundtrigger_dm]
root           315     2       0      0 0                   0 S [rdr_audio_soc_t]
root           316     2       0      0 0                   0 S [rdr_audio_soc_w]
root           317     2       0      0 0                   0 S [rdr_codec_hifi_]
root           318     2       0      0 0                   0 S [rdr_codec_hifi_]
root           320     2       0      0 0                   0 S [irq/229-ffb0400]
root           321     2       0      0 0                   0 I [RDR_IVP]
root           322     2       0      0 0                   0 S [irq/294-vl53l1_]
root           323     2       0      0 0                   0 S [rpmsg_tx_tsk]
root           324     2       0      0 0                   0 S [pwronisp]
root           325     2       0      0 0                   0 I [RDR ISP]
root           326     2       0      0 0                   0 I [NTF ISP]
root           327     2       0      0 0                   0 D [hippmntn]
root           328     2       0      0 0                   0 S [core_ctl/0]
root           329     2       0      0 0                   0 S [core_ctl/4]
root           330     2       0      0 0                   0 S [core_ctl/6]
root           331     2       0      0 0                   0 S [workingset:coll]
root           334     2       0      0 0                   0 I [hkip-atkinfo]
root           335     2       0      0 0                   0 S [mm_smmu_evt.1]
root           336     2       0      0 0                   0 S [mm_smmu_evt.2]
root           337     2       0      0 0                   0 S [mm_smmu_evt.0]
root           338     2       0      0 0                   0 S [irq/150-dwc_dpt]
root           339     2       0      0 0                   0 I [fb1_dss_debug]
root           340     2       0      0 0                   0 I [fb1_ldi_underfl]
root           341     2       0      0 0                   0 I [fb0_display_eng]
root           342     2       0      0 0                   0 I [dss_underflow_d]
root           343     2       0      0 0                   0 I [dpufb1-layerbuf]
root           344     2       0      0 0                   0 I [tca_wq]
root           345     2       0      0 0                   0 S [refresh_handle]
root           346     2       0      0 0                   0 I [fb0_display_eng]
root           347     2       0      0 0                   0 I [dpufb2-layerbuf]
root           348     2       0      0 0                   0 I [sc_charging_wq]
root           349     2       0      0 0                   0 I [sc_wtd_wq]
root           350     2       0      0 0                   0 I [lvc_charging_wq]
root           351     2       0      0 0                   0 I [lvc_wtd_wq]
root           352     2       0      0 0                   0 D [rdr_sh_thread]
root           353     2       0      0 0                   0 D [rdr_exce_thread]
root           354     2       0      0 0                   0 I [iom3_rec_wq]
root           355     2       0      0 0                   0 I [mcu_event_notif]
root           356     2       0      0 0                   0 I [mcu_aod_workque]
root           357     2       0      0 0                   0 I [sharemem_receiv]
root           358     2       0      0 0                   0 I [uvdm_charging_w]
root           359     2       0      0 0                   0 S [wifi_filter_thr]
root           360     2       0      0 0                   0 D [iotrace_delay]
root           365     2       0      0 0                   0 S [irq/296-cs35l36]
root           366     2       0      0 0                   0 S [irq/295-cs35l36]
root           369     2       0      0 0                   0 S [thermal_hotplug]
root           370     2       0      0 0                   0 S [rpmb_task]
root           371     2       0      0 0                   0 I [noc_err_handle_]
root           372     2       0      0 0                   0 D [slub-alloc]
root           373     2       0      0 0                   0 D [slub-free]
root           374     2       0      0 0                   0 S [pll_delayed_rel]
root           375     2       0      0 0                   0 I [da_combine_micb]
root           376     2       0      0 0                   0 I [msg_proc_wq]
root           377     2       0      0 0                   0 S [codecdumplog]
root           378     2       0      0 0                   0 S [left_data_parse]
root           379     2       0      0 0                   0 S [right_data_pars]
root           381     2       0      0 0                   0 I [kworker/7:1H-sync_dispatch]
root           383     2       0      0 0                   0 D [pcm_run_thread]
root           384     2       0      0 0                   0 I [aod_workqueue]
root           385     2       0      0 0                   0 I [ps_ud_te_freq]
root           386     2       0      0 0                   0 S [hisi_tcpc_timer]
root           387     2       0      0 0                   0 S [hisi_tcpc_event]
root           388     2       0      0 0                   0 S [hisi-tcpc]
root           389     2       0      0 0                   0 I [ar_wq]
root           390     2       0      0 0                   0 I [flp_wq]
root           391     2       0      0 0                   0 I [kworker/1:1H-sync_dispatch]
root           392     2       0      0 0                   0 I [antiroot-ca]
root           398     2       0      0 0                   0 S [jbd2/sdd45-8]
root           399     2       0      0 0                   0 I [ext4-rsv-conver]
root           400     2       0      0 0                   0 I [kdmflush]
root           401     2       0      0 0                   0 I [kdmflush]
root           402     2       0      0 0                   0 I [kdmflush]
root           403     2       0      0 0                   0 I [kdmflush]
root           404     2       0      0 0                   0 I [kdmflush]
root           405     2       0      0 0                   0 I [kdmflush]
root           406     2       0      0 0                   0 I [kverityd]
root           409     2       0      0 0                   0 I [kdmflush]
root           410     2       0      0 0                   0 I [kverityd]
root           411     2       0      0 0                   0 I [kdmflush]
root           412     2       0      0 0                   0 I [kverityd]
root           413     2       0      0 0                   0 I [kdmflush]
root           414     2       0      0 0                   0 I [kverityd]
root           415     2       0      0 0                   0 I [kdmflush]
root           416     2       0      0 0                   0 I [kverityd]
root           417     2       0      0 0                   0 I [kdmflush]
root           418     2       0      0 0                   0 I [kverityd]
root           419     2       0      0 0                   0 I [kdmflush]
root           420     2       0      0 0                   0 I [kverityd]
root           421     2       0      0 0                   0 I [kdmflush]
root           422     2       0      0 0                   0 I [kverityd]
root           423     2       0      0 0                   0 S [jbd2/dm-12-8]
